               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08389,            0.053559,            0.087444,             0.24245,              0.2591,            0.079761,            0.036275,            0.065427,            0.021025,            0.081846,            0.070134,           0.0033185,           0.0033185
                   1,            0.062252,            0.044276,            0.074716,             0.27517,             0.42478,             0.30743,             0.14549,            0.052571,            0.017362,            0.061431,            0.040101,           0.0066189,           0.0066189
                   2,            0.055672,            0.040854,            0.055485,             0.71381,             0.50253,              0.5722,             0.27068,            0.051505,             0.02441,            0.039973,            0.010035,           0.0098863,           0.0098863
                   3,             0.05087,            0.039428,            0.040835,             0.85602,             0.59773,             0.71057,             0.33522,            0.049124,            0.021302,            0.030322,           0.0098515,           0.0098515,           0.0098515
                   4,             0.04704,            0.037552,            0.036329,             0.86795,             0.65782,             0.77169,             0.36472,            0.045946,            0.017071,            0.027108,           0.0098515,           0.0098515,           0.0098515
                   5,            0.045033,            0.036412,            0.033881,             0.87088,             0.70035,              0.8086,             0.45956,            0.041017,            0.014799,            0.023855,            0.009802,            0.009802,            0.009802
                   6,            0.043779,            0.035996,            0.032507,             0.88403,              0.7241,             0.83163,              0.4788,            0.040187,            0.014491,            0.022735,           0.0097525,           0.0097525,           0.0097525
                   7,            0.042751,            0.034823,            0.031118,             0.88374,             0.74828,             0.84206,             0.47157,            0.040457,            0.014538,            0.021218,            0.009703,            0.009703,            0.009703
                   8,            0.041994,            0.034523,            0.030366,             0.89084,             0.74847,             0.84961,             0.46946,            0.041409,            0.014451,            0.020505,           0.0096535,           0.0096535,           0.0096535
                   9,            0.041312,            0.034067,            0.029958,             0.89983,             0.74694,             0.84967,             0.48803,             0.04061,            0.014134,             0.02016,            0.009604,            0.009604,            0.009604
                  10,            0.040878,            0.033766,             0.02932,             0.90589,             0.77245,             0.86859,              0.5315,            0.037829,            0.013739,             0.01921,           0.0095545,           0.0095545,           0.0095545
                  11,            0.040391,             0.03339,            0.028759,             0.90641,             0.75527,             0.85875,             0.51357,            0.038652,            0.015507,            0.019361,            0.009505,            0.009505,            0.009505
                  12,            0.040311,            0.033433,            0.028363,             0.90523,             0.78331,             0.87488,             0.53227,            0.037717,            0.013681,             0.01812,           0.0094555,           0.0094555,           0.0094555
                  13,            0.039773,            0.032803,            0.027938,             0.90536,             0.78907,               0.881,             0.54439,            0.037039,             0.01346,            0.018107,            0.009406,            0.009406,            0.009406
                  14,            0.039441,             0.03267,            0.027562,             0.91388,             0.80197,             0.88384,             0.54095,            0.037292,            0.013451,            0.016643,           0.0093565,           0.0093565,           0.0093565
                  15,            0.039274,            0.032461,             0.02718,             0.91497,             0.80477,             0.89266,             0.56093,            0.036466,            0.013195,            0.016731,            0.009307,            0.009307,            0.009307
                  16,            0.039078,            0.032419,             0.02703,             0.90559,             0.81212,             0.88962,              0.5574,            0.036254,            0.013347,             0.01601,           0.0092575,           0.0092575,           0.0092575
                  17,            0.038951,            0.032554,            0.027068,             0.91371,             0.82086,             0.89684,             0.54332,             0.03773,             0.01356,            0.016101,            0.009208,            0.009208,            0.009208
                  18,            0.038753,            0.032096,            0.026551,              0.9165,             0.81331,             0.89308,              0.5453,            0.037361,            0.013379,            0.016104,           0.0091585,           0.0091585,           0.0091585
                  19,            0.038413,            0.031993,            0.026358,             0.91504,             0.82967,             0.90207,             0.57731,            0.035273,            0.013055,            0.015024,            0.009109,            0.009109,            0.009109
                  20,            0.038191,            0.031688,            0.026164,             0.92373,             0.82913,             0.90459,             0.57425,            0.035522,            0.013188,            0.014777,           0.0090595,           0.0090595,           0.0090595
                  21,            0.038192,            0.031869,             0.02614,             0.91132,             0.82581,             0.89989,             0.57514,            0.035603,            0.013001,            0.015098,             0.00901,             0.00901,             0.00901
                  22,            0.038009,            0.031197,            0.025795,             0.92481,             0.83291,             0.90901,             0.58664,            0.034988,               0.013,            0.014377,           0.0089605,           0.0089605,           0.0089605
                  23,            0.037765,            0.031289,            0.025489,             0.92023,             0.84152,             0.91079,              0.5831,            0.035387,            0.012894,             0.01396,            0.008911,            0.008911,            0.008911
                  24,            0.037885,             0.03135,            0.025674,             0.92086,             0.83863,             0.90913,             0.58481,            0.035083,            0.012918,             0.01423,           0.0088615,           0.0088615,           0.0088615
                  25,            0.037563,            0.031146,            0.025371,             0.92547,             0.83982,              0.9105,             0.58784,            0.034769,            0.012868,            0.013571,            0.008812,            0.008812,            0.008812
                  26,            0.037466,            0.031269,            0.025486,             0.92585,             0.84772,             0.91461,             0.59362,            0.034489,            0.012757,            0.013238,           0.0087625,           0.0087625,           0.0087625
                  27,            0.037366,            0.030776,            0.025036,             0.92378,             0.85136,             0.91704,             0.59092,            0.034657,            0.012744,            0.012828,            0.008713,            0.008713,            0.008713
                  28,            0.037283,            0.030924,            0.025181,             0.91903,             0.86732,             0.92245,             0.59331,            0.034678,            0.012747,            0.012535,           0.0086635,           0.0086635,           0.0086635
                  29,            0.037145,            0.031059,            0.024956,             0.92931,             0.85674,              0.9218,             0.60273,            0.033986,            0.012579,            0.012741,            0.008614,            0.008614,            0.008614
